Product_ID,Product_Name,Product_Description,Category,Brand,Base_Price,Price,Margin_Pct,Launch_Date,Popularity_Score,Return_Policy,FAQ_Question,FAQ_Answer,Review
P001,Lakme Beauty Product 001,Lakme Beauty Product 001 designed for reliable retail use.,Beauty,Lakme,760.0,760.0,0.268,2024-04-30 00:00:00,0.012005703422053232,7 days replacement,Is cash on delivery available?,Returns are accepted if product is unused.,Fast delivery and product matched description.
P002,Adidas Sports Product 002,Adidas Sports Product 002 designed for reliable retail use.,Sports,Adidas,5640.0,5640.0,0.115,2024-02-26 00:00:00,0.008450570342205324,7 days replacement,What is the warranty period?,Delivery usually takes 2 to 5 business days.,Good quality and value for money.
P003,FreshKart Grocery Product 003,FreshKart Grocery Product 003 designed for reliable retail use.,Grocery,FreshKart,200.0,200.0,0.254,2024-08-29 00:00:00,0.012091254752851712,7 days replacement,Is this product eligible for return?,Returns are accepted if product is unused.,Good quality and value for money.
P004,Amul Grocery Product 004,Amul Grocery Product 004 designed for reliable retail use.,Grocery,Amul,120.0,120.0,0.097,2025-05-08 00:00:00,0.0107319391634981,10 days return,How long does delivery take?,Returns are accepted if product is unused.,Excellent customer experience and packaging.
P005,Nivea Beauty Product 005,Nivea Beauty Product 005 designed for reliable retail use.,Beauty,Nivea,1540.0,1540.0,0.176,2024-02-10 00:00:00,0.008887832699619774,15 days return,What is the warranty period?,Returns are accepted if product is unused.,Excellent customer experience and packaging.
P006,Decathlon Sports Product 006,Decathlon Sports Product 006 designed for reliable retail use.,Sports,Decathlon,6050.0,6050.0,0.206,2025-08-05 00:00:00,0.008336501901140686,15 days return,Is this product eligible for return?,Returns are accepted if product is unused.,Average product but acceptable for the price.
P007,Sony Electronics Product 007,Sony Electronics Product 007 designed for reliable retail use.,Electronics,Sony,1540.0,1540.0,0.281,2024-08-07 00:00:00,0.010941064638783271,7 days replacement,How long does delivery take?,Warranty depends on category and seller policy.,Average product but acceptable for the price.
P008,AllenSolly Fashion Product 008,AllenSolly Fashion Product 008 designed for reliable retail use.,Fashion,AllenSolly,1010.0,1010.0,0.131,2025-08-03 00:00:00,0.011558935361216731,15 days return,Is cash on delivery available?,Warranty depends on category and seller policy.,Excellent customer experience and packaging.
P009,Sony Electronics Product 009,Sony Electronics Product 009 designed for reliable retail use.,Electronics,Sony,5990.0,5990.0,0.261,2025-07-18 00:00:00,0.006758555133079849,No return on opened pack,What is the warranty period?,COD may be available depending on region.,Average product but acceptable for the price.
P010,Nivea Beauty Product 010,Nivea Beauty Product 010 designed for reliable retail use.,Beauty,Nivea,1990.0,1990.0,0.305,2024-09-19 00:00:00,0.011311787072243347,10 days return,What is the warranty period?,Warranty depends on category and seller policy.,Fast delivery and product matched description.
P011,Maybelline Beauty Product 011,Maybelline Beauty Product 011 designed for reliable retail use.,Beauty,Maybelline,630.0,630.0,0.264,2025-01-17 00:00:00,0.010237642585551331,7 days replacement,Is this product eligible for return?,Warranty depends on category and seller policy.,Excellent customer experience and packaging.
P012,Nike Fashion Product 012,Nike Fashion Product 012 designed for reliable retail use.,Fashion,Nike,310.0,310.0,0.26,2024-03-24 00:00:00,0.01046577946768061,No return on opened pack,Is cash on delivery available?,Returns are accepted if product is unused.,Average product but acceptable for the price.
P013,Prestige Home Product 013,Prestige Home Product 013 designed for reliable retail use.,Home,Prestige,10600.0,10600.0,0.234,2024-01-23 00:00:00,0.00793726235741445,10 days return,Is cash on delivery available?,Warranty depends on category and seller policy.,Fast delivery and product matched description.
P014,Dell Electronics Product 014,Dell Electronics Product 014 designed for reliable retail use.,Electronics,Dell,13520.0,13520.0,0.233,2024-03-24 00:00:00,0.012728136882129279,10 days return,How long does delivery take?,Delivery usually takes 2 to 5 business days.,Average product but acceptable for the price.
P015,Nivea Beauty Product 015,Nivea Beauty Product 015 designed for reliable retail use.,Beauty,Nivea,1560.0,1560.0,0.231,2025-04-21 00:00:00,0.011454372623574146,10 days return,Is cash on delivery available?,Warranty depends on category and seller policy.,Fast delivery and product matched description.
