order_id,product_id,date,quantity,price_order,region,customer_id,discount_pct,payment_method,shipping_status,order_date,product_description,return_policy,faq_question,faq_answer,review,price_product,category,brand,product_name,age,location,purchase_frequency,region_customer,segment,price,total_amount,order_day,order_month,order_weekday,is_weekend,year,month_period
ORD-00001,P-00047,2024-01-01,2,29.99,West,C-00321,0.05,Credit Card,Delivered,2024-01-01,Desk Organizer,14-day return (store credit),What kind of warranty comes with Desk Organizer?,This product includes a standard 1-year manufacturer warranty.,A bit overpriced for the value.,0.0,unknown,unknown,unknown,61,Boston,4,unknown,unknown,0.0,0.0,1,1,0,0,2024,2024-01
ORD-00002,P-00023,2024-01-01,1,14.5,East,C-00012,0.0,PayPal,Delivered,2024-01-01,Hiking Backpack,30-day return (full refund),Can Hiking Backpack be used as a gift?,Absolutely! We also offer gift-wrapping options at checkout.,Arrived earlier than expected in perfect condition.,0.0,unknown,unknown,unknown,22,Austin,4,unknown,unknown,0.0,0.0,1,1,0,0,2024,2024-01
ORD-00003,P-00091,2024-01-02,3,99.0,North,C-00145,0.1,Debit Card,Shipped,2024-01-02,Yoga Pants,No returns on sale items,How long does shipping take for Yoga Pants?,Standard shipping takes roughly 3-5 business days.,Exactly what I was looking for.,0.0,unknown,unknown,unknown,21,Denver,16,unknown,unknown,0.0,0.0,2,1,1,0,2024,2024-01
ORD-00004,P-00047,2024-01-02,1,29.99,West,C-00321,0.0,Credit Card,Shipped,2024-01-02,Desk Organizer,14-day return (store credit),What kind of warranty comes with Desk Organizer?,This product includes a standard 1-year manufacturer warranty.,A bit overpriced for the value.,0.0,unknown,unknown,unknown,61,Boston,4,unknown,unknown,0.0,0.0,2,1,1,0,2024,2024-01
ORD-00005,P-00003,2024-01-02,5,4.99,South,C-00098,0.15,Bank Transfer,Pending,2024-01-02,Stainless Steel Water Bottle,Free returns within 60 days,Is Stainless Steel Water Bottle available in different sizes?,Yes check the size chart on our website.,Absolutely love it! Fast delivery.,0.0,unknown,unknown,unknown,53,Philadelphia,9,unknown,unknown,0.0,0.0,2,1,1,0,2024,2024-01
ORD-00006,P-00055,2024-01-03,2,149.99,East,C-00222,0.0,Credit Card,Processing,2024-01-03,Handheld Vacuum,Final sale (no returns),Is Handheld Vacuum available in other colors?,Check our online store for all available color variations.,"Not quite what I expected, but it works.",0.0,unknown,unknown,unknown,65,Atlanta,7,unknown,unknown,0.0,0.0,3,1,2,0,2024,2024-01
ORD-00007,P-00001,2024-01-03,1,799.0,West,C-00057,0.05,Credit Card,Delivered,2024-01-03,Premium Wireless Headphones,30-day return (full refund),What is the return policy for Premium Wireless Headphones?,You can return it within 30 days for a full refund.,Great product! Exceeded my expectations.,0.0,unknown,unknown,unknown,32,Atlanta,11,unknown,unknown,0.0,0.0,3,1,2,0,2024,2024-01
ORD-00008,P-00003,2024-01-04,10,4.99,South,C-00098,0.2,PayPal,Shipped,2024-01-04,Stainless Steel Water Bottle,Free returns within 60 days,Is Stainless Steel Water Bottle available in different sizes?,Yes check the size chart on our website.,Absolutely love it! Fast delivery.,0.0,unknown,unknown,unknown,53,Philadelphia,9,unknown,unknown,0.0,0.0,4,1,3,0,2024,2024-01
ORD-00009,P-00023,2024-01-04,1,14.5,North,C-00101,0.0,Debit Card,Pending,2024-01-04,Hiking Backpack,30-day return (full refund),Can Hiking Backpack be used as a gift?,Absolutely! We also offer gift-wrapping options at checkout.,Arrived earlier than expected in perfect condition.,0.0,unknown,unknown,unknown,64,Detroit,7,unknown,unknown,0.0,0.0,4,1,3,0,2024,2024-01
ORD-00010,P-00091,2024-01-04,1,99.0,West,C-00210,0.0,Credit Card,Processing,2024-01-04,Yoga Pants,No returns on sale items,How long does shipping take for Yoga Pants?,Standard shipping takes roughly 3-5 business days.,Exactly what I was looking for.,0.0,unknown,unknown,unknown,50,Fort Worth,22,unknown,unknown,0.0,0.0,4,1,3,0,2024,2024-01
ORD-00011,P-00023,2024-01-04,1,14.5,East,C-00126,0.15,Credit Card,Delivered,2024-01-04,Hiking Backpack,30-day return (full refund),Can Hiking Backpack be used as a gift?,Absolutely! We also offer gift-wrapping options at checkout.,Arrived earlier than expected in perfect condition.,0.0,unknown,unknown,unknown,52,Charlotte,5,unknown,unknown,0.0,0.0,4,1,3,0,2024,2024-01
ORD-00012,P-00088,2024-01-05,7,249.0,North,C-00016,0.0,Credit Card,Shipped,2024-01-05,Fleece Zip-Up Hoodie,30-day return (full refund),Is Fleece Zip-Up Hoodie durable for everyday use?,"Yes, it is designed with high-quality materials for daily use.",My wife loved it. Great buy.,0.0,unknown,unknown,unknown,33,Indianapolis,7,unknown,unknown,0.0,0.0,5,1,4,0,2024,2024-01
ORD-00013,P-00042,2024-01-05,7,8.99,South,C-00230,0.2,Credit Card,Shipped,2024-01-05,Electric Kettle,Free returns within 60 days,How do I clean Electric Kettle?,Please follow the care instructions included in the packaging.,Would buy again in a heartbeat.,0.0,unknown,unknown,unknown,26,San Antonio,14,unknown,unknown,0.0,0.0,5,1,4,0,2024,2024-01
ORD-00014,P-00010,2024-01-05,6,19.99,East,C-00080,0.2,Debit Card,Delivered,2024-01-05,Children's Building Blocks,No returns on sale items,Is Children's Building Blocks available in different sizes?,Yes check the size chart on our website.,Great gift for kids.,0.0,unknown,unknown,unknown,39,Houston,10,unknown,unknown,0.0,0.0,5,1,4,0,2024,2024-01
ORD-00015,P-00023,2024-01-05,7,14.5,North,C-00184,0.1,Debit Card,Delivered,2024-01-05,Hiking Backpack,30-day return (full refund),Can Hiking Backpack be used as a gift?,Absolutely! We also offer gift-wrapping options at checkout.,Arrived earlier than expected in perfect condition.,0.0,unknown,unknown,unknown,65,Charlotte,18,unknown,unknown,0.0,0.0,5,1,4,0,2024,2024-01
ORD-00016,P-00015,2024-01-05,9,34.5,North,C-00499,0.0,Debit Card,Pending,2024-01-05,Ceramic Coffee Mug,45-day exchange policy,What is the return policy for Ceramic Coffee Mug?,You can refer to our standard return guidelines stated on the receipt.,Solid build and looks great in person.,0.0,unknown,unknown,unknown,49,Minneapolis,19,unknown,unknown,0.0,0.0,5,1,4,0,2024,2024-01
ORD-00017,P-00088,2024-01-05,4,249.0,North,C-00024,0.2,Debit Card,Delivered,2024-01-05,Fleece Zip-Up Hoodie,30-day return (full refund),Is Fleece Zip-Up Hoodie durable for everyday use?,"Yes, it is designed with high-quality materials for daily use.",My wife loved it. Great buy.,0.0,unknown,unknown,unknown,24,Atlanta,24,unknown,unknown,0.0,0.0,5,1,4,0,2024,2024-01
ORD-00018,P-00003,2024-01-05,2,4.99,West,C-00143,0.2,Debit Card,Shipped,2024-01-05,Stainless Steel Water Bottle,Free returns within 60 days,Is Stainless Steel Water Bottle available in different sizes?,Yes check the size chart on our website.,Absolutely love it! Fast delivery.,0.0,unknown,unknown,unknown,65,Seattle,2,unknown,unknown,0.0,0.0,5,1,4,0,2024,2024-01
ORD-00019,P-00001,2024-01-05,6,799.0,South,C-00344,0.15,Credit Card,Shipped,2024-01-05,Premium Wireless Headphones,30-day return (full refund),What is the return policy for Premium Wireless Headphones?,You can return it within 30 days for a full refund.,Great product! Exceeded my expectations.,0.0,unknown,unknown,unknown,62,Raleigh,9,unknown,unknown,0.0,0.0,5,1,4,0,2024,2024-01
ORD-00020,P-00042,2024-01-05,4,8.99,South,C-00237,0.15,PayPal,Pending,2024-01-05,Electric Kettle,Free returns within 60 days,How do I clean Electric Kettle?,Please follow the care instructions included in the packaging.,Would buy again in a heartbeat.,0.0,unknown,unknown,unknown,56,Miami,11,unknown,unknown,0.0,0.0,5,1,4,0,2024,2024-01
ORD-00021,P-00047,2024-01-05,4,29.99,North,C-00413,0.0,Credit Card,Shipped,2024-01-05,Desk Organizer,14-day return (store credit),What kind of warranty comes with Desk Organizer?,This product includes a standard 1-year manufacturer warranty.,A bit overpriced for the value.,0.0,unknown,unknown,unknown,45,Portland,11,unknown,unknown,0.0,0.0,5,1,4,0,2024,2024-01
ORD-00022,P-00088,2024-01-05,6,249.0,South,C-00336,0.15,Bank Transfer,Shipped,2024-01-05,Fleece Zip-Up Hoodie,30-day return (full refund),Is Fleece Zip-Up Hoodie durable for everyday use?,"Yes, it is designed with high-quality materials for daily use.",My wife loved it. Great buy.,0.0,unknown,unknown,unknown,35,Raleigh,15,unknown,unknown,0.0,0.0,5,1,4,0,2024,2024-01
